date,capital,position_value,total_value,position,return,cum_return
2020-10-16,-37085.94409999999,148879.0,111793.0559,100,-0.015846039053519334,0.11793055900000016
2020-10-19,-37085.94409999999,147769.0,110683.0559,100,-0.00992906036125274,0.10683055900000005
2020-10-20,-37085.94409999999,148079.0,110993.0559,100,0.0028007900349271697,0.10993055900000015
2020-10-21,-37085.94409999999,150879.0,113793.0559,100,0.025226803400409947,0.13793055900000017
2020-10-22,-37085.94409999999,150130.0,113044.0559,100,-0.006582123962451725,0.13044055900000018
2020-10-23,-37085.94409999999,149979.0,112893.0559,100,-0.0013357624051775208,0.12893055900000006
2020-10-26,101450.48250000001,0.0,101450.48250000001,0,-0.10135763717952462,0.014504825000000166
2020-10-27,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-10-28,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-10-29,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-10-30,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-02,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-03,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-04,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-05,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-06,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-09,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-10,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-11,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-12,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-13,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-16,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-17,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-18,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-19,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-20,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-23,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-24,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-25,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-26,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
2020-11-27,101450.48250000001,0.0,101450.48250000001,0,0.0,0.014504825000000166
