date,capital,position_value,total_value,position,return,cum_return
2020-01-02,100000.0,0.0,100000.0,0,,
2020-01-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-06,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-07,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-08,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-09,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-10,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-13,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-14,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-15,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-16,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-17,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-20,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-21,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-22,100000.0,0.0,100000.0,0,0.0,0.0
2020-01-23,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-04,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-05,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-06,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-07,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-10,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-11,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-12,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-13,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-14,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-17,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-18,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-19,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-20,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-21,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-24,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-25,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-26,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-27,100000.0,0.0,100000.0,0,0.0,0.0
2020-02-28,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-02,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-03,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-04,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-05,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-06,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-09,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-10,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-11,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-12,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-13,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-16,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-17,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-18,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-19,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-20,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-23,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-24,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-25,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-26,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-27,100000.0,0.0,100000.0,0,0.0,0.0
2020-03-30,17397.226599999995,82577.0,99974.2266,100,-0.00025773400000006497,-0.00025773400000006497
2020-03-31,17397.226599999995,85057.0,102454.2266,100,0.024806393451009656,0.024542265999999868
2020-04-01,17397.226599999995,87177.0,104574.2266,100,0.020692167325383926,0.045742265999999976
2020-04-02,17397.226599999995,87265.0,104662.2266,100,0.0008415075383403359,0.04662226600000019
2020-04-03,17397.226599999995,90075.0,107472.2266,100,0.026848272689050656,0.0747222660000002
2020-04-07,17397.226599999995,91766.0,109163.2266,100,0.01573429762736489,0.09163226600000018
2020-04-08,17397.226599999995,92077.0,109474.2266,100,0.002848944737952719,0.09474226600000035
2020-04-09,17397.226599999995,91673.0,109070.2266,100,-0.0036903663313936352,0.09070226600000031
2020-04-10,17397.226599999995,92227.0,109624.2266,100,0.005079296314582038,0.09624226600000041
2020-04-13,17397.226599999995,91727.0,109124.2266,100,-0.00456103559867671,0.0912422660000003
2020-04-14,17397.226599999995,93477.0,110874.2266,100,0.016036768869067908,0.10874226600000014
2020-04-15,17397.226599999995,95587.0,112984.2266,100,0.019030572430617454,0.12984226600000004
2020-04-16,17397.226599999995,95287.0,112684.2266,100,-0.0026552378949505906,0.12684226599999993
2020-04-17,17397.226599999995,97378.0,114775.2266,100,0.018556279464227998,0.1477522659999999
2020-04-20,17397.226599999995,98557.0,115954.2266,100,0.010272251555720313,0.15954226599999988
2020-04-21,17397.226599999995,96177.0,113574.2266,100,-0.020525340643339662,0.13574226599999983
2020-04-22,17397.226599999995,97099.0,114496.2266,100,0.00811803899177943,0.14496226599999984
2020-04-23,17397.226599999995,101654.0,119051.2266,100,0.03978297045467882,0.19051226600000004
2020-04-24,17397.226599999995,100395.0,117792.2266,100,-0.01057527953265125,0.17792226599999994
2020-04-27,17397.226599999995,101973.0,119370.2266,100,0.01339646974633224,0.19370226600000007
2020-04-28,17397.226599999995,104065.00000000001,121462.22660000001,100,0.017525308107273263,0.21462226600000034
2020-04-29,17397.226599999995,102677.0,120074.2266,100,-0.011427421008598726,0.20074226600000022
2020-04-30,17397.226599999995,102765.00000000001,120162.22660000001,100,0.000732880006740988,0.20162226600000044
2020-05-06,17397.226599999995,101877.0,119274.2266,100,-0.007390009532330155,0.19274226600000022
2020-05-07,17397.226599999995,106177.0,123574.2266,100,0.03605137608161191,0.23574226600000014
2020-05-08,17397.226599999995,107728.0,125125.2266,100,0.012551160890696522,0.25125226600000006
2020-05-11,17397.226599999995,108244.0,125641.2266,100,0.004123868655595331,0.2564122660000001
2020-05-12,17397.226599999995,108477.0,125874.2266,100,0.0018544868297234451,0.25874226600000005
2020-05-13,17397.226599999995,109165.00000000001,126562.22660000001,100,0.005465773404005336,0.2656222660000003
2020-05-14,17397.226599999995,109388.00000000001,126785.22660000001,100,0.0017619791148648645,0.2678522660000002
2020-05-15,17397.226599999995,107065.00000000001,124462.22660000001,100,-0.018322323998591128,0.24462226600000037
2020-05-18,124754.0099,0.0,124754.0099,0,0.002344352242208636,0.2475400990000003
2020-05-19,124754.0099,0.0,124754.0099,0,0.0,0.2475400990000003
2020-05-20,124754.0099,0.0,124754.0099,0,0.0,0.2475400990000003
2020-05-21,12556.36069999999,112163.00000000001,124719.3607,100,-0.0002777401706588467,0.24719360700000026
2020-05-22,121687.6115,0.0,121687.6115,0,-0.0243085691185716,0.21687611500000004
2020-05-25,121687.6115,0.0,121687.6115,0,0.0,0.21687611500000004
2020-05-26,121687.6115,0.0,121687.6115,0,0.0,0.21687611500000004
2020-05-27,121687.6115,0.0,121687.6115,0,0.0,0.21687611500000004
2020-05-28,121687.6115,0.0,121687.6115,0,0.0,0.21687611500000004
2020-05-29,121687.6115,0.0,121687.6115,0,0.0,0.21687611500000004
2020-06-01,121687.6115,0.0,121687.6115,0,0.0,0.21687611500000004
2020-06-02,4108.348299999998,117543.0,121651.3483,100,-0.0002980023977214863,0.21651348299999995
2020-06-03,4108.348299999998,116454.0,120562.3483,100,-0.008951812003878956,0.20562348299999988
2020-06-04,4108.348299999998,116477.0,120585.3483,100,0.00019077266098666001,0.20585348299999984
2020-06-05,4108.348299999998,116984.99999999999,121093.34829999998,100,0.0042127837847774074,0.2109334829999996
2020-06-08,4108.348299999998,117078.0,121186.3483,100,0.0007680025476677343,0.21186348299999969
2020-06-09,4108.348299999998,116945.0,121053.3483,100,-0.001097483354071782,0.21053348299999963
2020-06-10,4108.348299999998,118577.0,122685.3483,100,0.01348165930904699,0.22685348299999974
2020-06-11,120648.3758,0.0,120648.3758,0,-0.016603225472523686,0.20648375799999985
